Are you ok?,Can you read?,Do you like school?,Does technology interest you?,Did you come here at your own free will?,Do you like chocolate?
no,no,no,no,no
yes,yes,yes,yes,yes
no,no,no,no,no
yes,no,yes,no,no
yes,no,no,no,no
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
,,,,
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no,no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
,,,,
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
,no,no,no,no
yes,yes,yes,yes,yes
,,,,
yes,yes,yes,yes,yes
no,no,no,no,no
,,,,no
,no,no,no,no
no,no,no,no,no
no,no,no,no,no
,no,no,no,no
yes,no,no,no,no
